,Område,Tid,Indhold
637,Nyborg,2015,13873
638,Nyborg,2016,14143
639,Nyborg,2017,14205
640,Odense,2008,93240
641,Odense,2009,89028
642,Odense,2010,88087
643,Odense,2011,87433
644,Odense,2012,87742
645,Odense,2013,88559
646,Odense,2014,89637
647,Odense,2015,90589
648,Odense,2016,92320
649,Odense,2017,94434
650,Svendborg,2008,28724
651,Svendborg,2009,27427
652,Svendborg,2010,26849
653,Svendborg,2011,26204
654,Svendborg,2012,25876
655,Svendborg,2013,25664
656,Svendborg,2014,25729
657,Svendborg,2015,25792
658,Svendborg,2016,26123
659,Svendborg,2017,26360
660,Ærø,2008,2971
661,Ærø,2009,2850
662,Ærø,2010,2781
663,Ærø,2011,2725
664,Ærø,2012,2668
665,Ærø,2013,2546
666,Ærø,2014,2522
667,Ærø,2015,2542
668,Ærø,2016,2513
669,Ærø,2017,2519
670,Province Sydjylland,2008,368926
671,Province Sydjylland,2009,349346
672,Province Sydjylland,2010,344679
673,Province Sydjylland,2011,342376
674,Province Sydjylland,2012,338021
675,Province Sydjylland,2013,337853
676,Province Sydjylland,2014,339975
677,Province Sydjylland,2015,342866
678,Province Sydjylland,2016,347667
679,Province Sydjylland,2017,352520
680,Billund,2008,14055
681,Billund,2009,13438
682,Billund,2010,13262
683,Billund,2011,13204
684,Billund,2012,13143
685,Billund,2013,13160
686,Billund,2014,13108
687,Billund,2015,13167
688,Billund,2016,13323
689,Billund,2017,13426
690,Esbjerg,2008,58922
691,Esbjerg,2009,56053
692,Esbjerg,2010,55254
693,Esbjerg,2011,55228
694,Esbjerg,2012,54576
695,Esbjerg,2013,54614
696,Esbjerg,2014,55073
697,Esbjerg,2015,55274
698,Esbjerg,2016,55680
699,Esbjerg,2017,56312
700,Fanø,2008,1616
701,Fanø,2009,1566
702,Fanø,2010,1534
703,Fanø,2011,1538
704,Fanø,2012,1504
705,Fanø,2013,1492
706,Fanø,2014,1498
707,Fanø,2015,1478
708,Fanø,2016,1508
709,Fanø,2017,1518
710,Fredericia,2008,25190
711,Fredericia,2009,23753
712,Fredericia,2010,23406
713,Fredericia,2011,23092
714,Fredericia,2012,22739
715,Fredericia,2013,22846
716,Fredericia,2014,23104
717,Fredericia,2015,23358
718,Fredericia,2016,23723
719,Fredericia,2017,24202
720,Haderslev,2008,28762
721,Haderslev,2009,27092
722,Haderslev,2010,26442
723,Haderslev,2011,26169
724,Haderslev,2012,25785
725,Haderslev,2013,25697
726,Haderslev,2014,25868
727,Haderslev,2015,25882
728,Haderslev,2016,26043
729,Haderslev,2017,26422
730,Kolding,2008,47336
731,Kolding,2009,44889
732,Kolding,2010,44277
733,Kolding,2011,44102
734,Kolding,2012,43787
735,Kolding,2013,44021
736,Kolding,2014,44373
737,Kolding,2015,45028
738,Kolding,2016,46019
739,Kolding,2017,46601
740,Sønderborg,2008,37176
741,Sønderborg,2009,34518
742,Sønderborg,2010,34136
743,Sønderborg,2011,33639
744,Sønderborg,2012,33003
745,Sønderborg,2013,32808
746,Sønderborg,2014,32849
747,Sønderborg,2015,32637
748,Sønderborg,2016,33101
749,Sønderborg,2017,33796
750,Tønder,2008,20161
751,Tønder,2009,18991
752,Tønder,2010,18679
753,Tønder,2011,18305
754,Tønder,2012,17762
755,Tønder,2013,17529
756,Tønder,2014,17519
757,Tønder,2015,17631
758,Tønder,2016,17737
759,Tønder,2017,17774
760,Varde,2008,27083
761,Varde,2009,25876
762,Varde,2010,25570
763,Varde,2011,25364
764,Varde,2012,24970
765,Varde,2013,24908
766,Varde,2014,24989
767,Varde,2015,25100
768,Varde,2016,25283
769,Varde,2017,25578
770,Vejen,2008,22389
771,Vejen,2009,21256
772,Vejen,2010,20898
773,Vejen,2011,21003
774,Vejen,2012,20766
775,Vejen,2013,20777
776,Vejen,2014,20871
777,Vejen,2015,21168
778,Vejen,2016,21449
779,Vejen,2017,21668
780,Vejle,2008,56355
781,Vejle,2009,53594
782,Vejle,2010,53435
783,Vejle,2011,53364
784,Vejle,2012,53175
785,Vejle,2013,53460
786,Vejle,2014,54041
787,Vejle,2015,55244
788,Vejle,2016,56534
789,Vejle,2017,57563
790,Aabenraa,2008,29881
791,Aabenraa,2009,28320
792,Aabenraa,2010,27786
793,Aabenraa,2011,27368
794,Aabenraa,2012,26811
795,Aabenraa,2013,26541
796,Aabenraa,2014,26682
797,Aabenraa,2015,26899
798,Aabenraa,2016,27267
799,Aabenraa,2017,27660
800,Region Midtjylland,2008,656669
801,Region Midtjylland,2009,626509
802,Region Midtjylland,2010,623432
803,Region Midtjylland,2011,622141
804,Region Midtjylland,2012,618537
805,Region Midtjylland,2013,619522
806,Region Midtjylland,2014,626017
807,Region Midtjylland,2015,633282
808,Region Midtjylland,2016,644309
809,Region Midtjylland,2017,656234
810,Province Østjylland,2008,429787
811,Province Østjylland,2009,412491
812,Province Østjylland,2010,411663
813,Province Østjylland,2011,411405
814,Province Østjylland,2012,410687
815,Province Østjylland,2013,412735
816,Province Østjylland,2014,418248
817,Province Østjylland,2015,424106
818,Province Østjylland,2016,432746
819,Province Østjylland,2017,441790
820,Favrskov,2008,24938
821,Favrskov,2009,23944
822,Favrskov,2010,23878
823,Favrskov,2011,23942
824,Favrskov,2012,23712
825,Favrskov,2013,23707
826,Favrskov,2014,24129
827,Favrskov,2015,24082
828,Favrskov,2016,24490
829,Favrskov,2017,24979
830,Hedensted,2008,25028
831,Hedensted,2009,23407
832,Hedensted,2010,23514
833,Hedensted,2011,23446
834,Hedensted,2012,23224
835,Hedensted,2013,23139
836,Hedensted,2014,23347
837,Hedensted,2015,23623
838,Hedensted,2016,24018
839,Hedensted,2017,24229
840,Horsens,2008,42506
841,Horsens,2009,40292
842,Horsens,2010,40216
843,Horsens,2011,40582
844,Horsens,2012,40703
845,Horsens,2013,41086
846,Horsens,2014,41717
847,Horsens,2015,42353
848,Horsens,2016,43380
849,Horsens,2017,44220
850,Norddjurs,2008,19239
851,Norddjurs,2009,18185
852,Norddjurs,2010,17981
853,Norddjurs,2011,17672
854,Norddjurs,2012,17507
855,Norddjurs,2013,17483
856,Norddjurs,2014,17560
857,Norddjurs,2015,17688
858,Norddjurs,2016,17771
859,Norddjurs,2017,18010
860,Odder,2008,11222
861,Odder,2009,10816
862,Odder,2010,10690
863,Odder,2011,10548
864,Odder,2012,10419
865,Odder,2013,10440
866,Odder,2014,10472
867,Odder,2015,10580
868,Odder,2016,10706
869,Odder,2017,10964
870,Randers,2008,48367
871,Randers,2009,45597
872,Randers,2010,45288
873,Randers,2011,45352
874,Randers,2012,44992
875,Randers,2013,45008
876,Randers,2014,45470
877,Randers,2015,46128
878,Randers,2016,46816
879,Randers,2017,47356
880,Samsø,2008,1841
881,Samsø,2009,1810
882,Samsø,2010,1709
883,Samsø,2011,1713
884,Samsø,2012,1624
885,Samsø,2013,1636
886,Samsø,2014,1653
887,Samsø,2015,1661
888,Samsø,2016,1669
889,Samsø,2017,1675
890,Silkeborg,2008,46983
891,Silkeborg,2009,44550
892,Silkeborg,2010,44229
893,Silkeborg,2011,44083
894,Silkeborg,2012,43877
895,Silkeborg,2013,44003
896,Silkeborg,2014,44349
897,Silkeborg,2015,44736
898,Silkeborg,2016,45449
